CustomerID,Age,AnnualIncome,SpendingScore,PurchaseFrequency,AvgOrderValue,MembershipLevel,Region,LastPurchaseDays
96,43.0,91.9,43,17,344.8,Bronze,West,112.0
16,29.0,36.0,77,20,5.0,Platinum,East,160.0
31,26.0,39.2,73,20,91.7,Silver,North,56.0
160,39.0,54.5,66,12,151.2,Platinum,West,138.0
187,29.0,77.6,45,3,167.6,Gold,East,181.0
116,31.0,87.8,47,1,345.8,Bronze,East,97.0
70,26.0,17.6,65,17,71.5,Bronze,South,246.0
173,34.0,36.8,75,19,125.5,Platinum,North,78.0
162,31.0,57.7,55,17,114.2,Gold,South,111.0
46,31.0,35.8,69,17,107.2,Silver,North,
67,24.0,24.2,80,17,119.0,Gold,East,183.0
151,27.0,38.8,50,16,112.0,Gold,North,211.0
167,24.0,44.0,49,8,148.6,Bronze,West,256.0
79,39.0,90.9,26,12,347.2,Silver,North,242.0
196,21.0,49.6,35,5,180.4,Silver,South,273.0
6,25.0,21.2,83,17,68.3,Platinum,South,288.0
57,25.0,42.9,95,15,165.3,Silver,West,191.0
154,28.0,54.6,77,9,222.5,Gold,East,261.0
83,49.0,71.5,24,10,313.3,Silver,East,173.0
69,20.0,37.9,82,17,61.2,Gold,West,219.0
126,41.0,73.1,38,5,343.8,Gold,North,264.0
17,23.0,39.3,94,17,47.7,Gold,West,349.0
185,39.0,42.7,61,9,197.8,Gold,South,258.0
94,43.0,92.4,47,2,277.0,Silver,East,34.0
66,18.0,48.9,87,22,105.1,Silver,North,133.0
61,20.0,28.3,87,22,79.2,Platinum,East,155.0
85,57.0,106.1,37,8,325.8,Silver,North,164.0
68,24.0,25.1,76,21,57.5,Gold,North,62.0
127,34.0,103.4,38,3,259.5,Bronze,East,214.0
141,29.0,67.6,52,6,87.7,Silver,South,109.0
10,20.0,29.5,90,21,9.5,Platinum,South,141.0
19,25.0,46.6,72,18,64.3,Silver,North,254.0
56,27.0,37.4,73,20,64.6,Gold,East,116.0
76,40.0,95.5,41,13,267.7,Silver,North,65.0
165,,71.9,82,10,132.2,Silver,East,223.0
105,34.0,91.5,33,7,269.5,Silver,North,42.0
137,37.0,41.5,54,13,101.1,Silver,East,333.0
139,30.0,68.9,49,14,173.7,Bronze,West,87.0
166,41.0,74.0,54,10,138.7,Gold,South,136.0
77,39.0,77.8,18,2,269.6,Platinum,East,13.0
80,42.0,64.4,53,4,349.5,Platinum,North,213.0
200,31.0,76.6,66,9,172.9,Gold,North,334.0
39,22.0,45.3,82,15,86.9,Platinum,South,80.0
25,29.0,24.1,94,14,103.5,Silver,North,266.0
123,48.0,84.3,42,1,397.8,Silver,East,203.0
198,26.0,73.0,68,11,151.1,Bronze,North,153.0
30,29.0,20.2,66,22,91.9,Silver,North,253.0
20,18.0,38.6,82,20,70.6,Gold,North,130.0
145,34.0,34.5,46,14,156.8,Platinum,South,148.0
87,37.0,60.5,37,7,360.1,Platinum,East,191.0
115,45.0,105.1,43,4,333.2,Silver,West,29.0
176,43.0,48.8,62,11,197.5,Gold,West,
6,25.0,21.2,83,17,68.3,Platinum,South,288.0
128,35.0,94.9,40,1,248.2,Bronze,West,200.0
118,46.0,79.5,31,8,265.8,Bronze,South,242.0
74,42.0,87.7,40,5,269.1,Silver,South,138.0
142,,39.6,77,3,217.9,Gold,North,152.0
99,44.0,102.8,40,1,360.9,Silver,East,232.0
175,31.0,45.4,46,9,148.7,Gold,South,169.0
97,44.0,73.5,23,5,269.7,Silver,North,252.0
172,29.0,45.0,64,9,175.3,Silver,West,324.0
98,36.0,77.2,29,11,335.3,Gold,North,82.0
32,20.0,57.4,84,15,106.3,Gold,South,83.0
13,22.0,32.8,68,15,112.5,Silver,East,20.0
36,29.0,35.2,94,18,188.8,Gold,East,156.0
120,41.0,81.8,30,3,315.1,Platinum,East,232.0
43,28.0,48.6,89,22,67.4,Bronze,North,260.0
192,39.0,59.1,64,14,167.9,Gold,South,226.0
91,44.0,96.5,30,7,278.8,Gold,East,117.0
138,37.0,52.1,56,14,167.8,Gold,East,200.0
52,22.0,50.2,72,21,111.0,Silver,East,124.0
